steps,rewards,intrinsic_rewards
23083,151.0,0.023668388728401615
23220,137.0,0.021440673214965494
23344,124.0,0.019511975708883255
23480,136.0,0.021351441409206022
23607,127.0,0.01981504925061017
23733,126.0,0.019520600550458768
23874,141.0,0.021394684546976354
24008,134.0,0.022404891168116597
24123,115.0,0.018335961693082933
24241,118.0,0.018595709645887835
24364,123.0,0.018428932980168615
24490,126.0,0.019982375702238646
24602,112.0,0.017903534596553073
24718,116.0,0.01923089526535477
24827,109.0,0.017209640261717146
24940,113.0,0.019045240237028336
25055,115.0,0.018588616646593434
25174,119.0,0.016238233001786288
25281,107.0,0.016003371865372176
25395,114.0,0.016704534465679897
25509,114.0,0.017319010847131725
25627,118.0,0.01734139604959637
25739,112.0,0.016970985889201987
25853,114.0,0.01693003628752194
25967,114.0,0.016995143680833276
26087,120.0,0.016260901157511398
26217,130.0,0.01782752873841673
26329,112.0,0.015316836407873778
26462,133.0,0.019395085657015445
26590,128.0,0.017117403971496976
26700,110.0,0.014476116307196207
26820,120.0,0.016082748051849192
26944,124.0,0.017979494977043937
27061,117.0,0.01696270190295763
27175,114.0,0.014141771537833846
27311,136.0,0.014913580875145271
27432,121.0,0.013890790261211807
27554,122.0,0.014437057255418032
27667,113.0,0.014047551012481563
27787,120.0,0.014366865225019869
27900,113.0,0.013534533523488794
28021,121.0,0.012818021271959884
28151,130.0,0.01306466496025678
28264,113.0,0.011485271083074622
28376,112.0,0.011712566023925319
28493,117.0,0.012285863261786292
28602,109.0,0.011279881990049033
28720,118.0,0.011939744936535138
28837,117.0,0.013139896909706296
28957,120.0,0.012049204818322324
29079,122.0,0.011796640499960633
29199,120.0,0.011795858285040595
29313,114.0,0.010829937353264535
29432,119.0,0.01224910909077153
29547,115.0,0.010789242820465006
29665,118.0,0.011824767893995152
29778,113.0,0.011211709820781837
29896,118.0,0.01194174289412331
30016,120.0,0.011821792347473093
30138,122.0,0.011852485311101182
30257,119.0,0.00993921937479172
30384,127.0,0.009848665428580716
30506,122.0,0.010441479471046478
30631,125.0,0.010189382941462098
30758,127.0,0.01061612031189725
30886,128.0,0.01044668759568594
31014,128.0,0.011135389228002175
31146,132.0,0.010300324475974771
31272,126.0,0.009146688328473832
31394,122.0,0.009817471320275217
31522,128.0,0.010119217686587944
31639,117.0,0.00832511986081954
31761,122.0,0.009362395360949448
31881,120.0,0.008436588756740094
32015,134.0,0.010494161280803382
32141,126.0,0.00929033716674894
32262,121.0,0.008712320044287476
32388,126.0,0.009107444333494644
32509,121.0,0.00819329233199824
32631,122.0,0.008839320109109393
32745,114.0,0.0077505433262558664
32873,128.0,0.008727535934303893
33003,130.0,0.010138904931955038
33132,129.0,0.009171620584675112
33249,117.0,0.008552643962320867
33364,115.0,0.007579376050853172
33484,120.0,0.008051182760391384
33604,120.0,0.00747015992528759
33723,119.0,0.00795088743325323
33845,122.0,0.008828723043552597
33969,124.0,0.008483660771162251
34098,129.0,0.008762739881058225
34211,113.0,0.007943259738385677
34328,117.0,0.007793490297626711
34445,117.0,0.007628940022550522
34569,124.0,0.00786399062926648
34623,54.0,0.006657166616059839
34749,126.0,0.008310478960629551
34784,35.0,0.00521893976838328
34902,118.0,0.007986462771077646
35018,116.0,0.01057764629658777
35053,35.0,0.0053157388669205835
35167,114.0,0.007117223014938645
35232,65.0,0.006709975673584268
